pathway,hugo_gene
Beta1 adrenergic receptor signaling pathway,Gng2
Beta1 adrenergic receptor signaling pathway,Adcy7
Beta1 adrenergic receptor signaling pathway,Vamp8
5HT1 type receptor mediated signaling pathway,Vamp2
5HT1 type receptor mediated signaling pathway,Prkar2a
5HT1 type receptor mediated signaling pathway,Gngt2
5HT1 type receptor mediated signaling pathway,Gnb2
5HT1 type receptor mediated signaling pathway,Snap23
5HT1 type receptor mediated signaling pathway,Vamp3
5HT1 type receptor mediated signaling pathway,Prkaca
5HT1 type receptor mediated signaling pathway,Gng5
5HT1 type receptor mediated signaling pathway,Snap29
5HT1 type receptor mediated signaling pathway,Gnai2
5HT1 type receptor mediated signaling pathway,Gnb4
5HT1 type receptor mediated signaling pathway,Gnb1
5HT1 type receptor mediated signaling pathway,Prkacb
5HT1 type receptor mediated signaling pathway,Gng11
5HT1 type receptor mediated signaling pathway,Prkx
5HT1 type receptor mediated signaling pathway,Gng10
5HT1 type receptor mediated signaling pathway,Gnai3
5HT1 type receptor mediated signaling pathway,Tcf3
5HT1 type receptor mediated signaling pathway,Slc18a1
5HT1 type receptor mediated signaling pathway,Slc6a4
5HT1 type receptor mediated signaling pathway,Mrpl16
5HT1 type receptor mediated signaling pathway,Gng2
5HT1 type receptor mediated signaling pathway,Adcy7
Flavin biosynthesis,Rfk
Flavin biosynthesis,Flad1
Flavin biosynthesis,Mettl23
Flavin biosynthesis,Eef2kmt
Adenine and hypoxanthine salvage pathway,Aprt
Adenine and hypoxanthine salvage pathway,Hprt1
Adenine and hypoxanthine salvage pathway,Pnp
Adenine and hypoxanthine salvage pathway,Xdh
Adrenaline and noradrenaline biosynthesis,Comt
Adrenaline and noradrenaline biosynthesis,Stx12
Adrenaline and noradrenaline biosynthesis,Vamp2
Adrenaline and noradrenaline biosynthesis,Stx7
Adrenaline and noradrenaline biosynthesis,Ppp1r8
Adrenaline and noradrenaline biosynthesis,Snap23
Adrenaline and noradrenaline biosynthesis,Vamp3
Adrenaline and noradrenaline biosynthesis,Slc18a1
Adrenaline and noradrenaline biosynthesis,Snap29
Adrenaline and noradrenaline biosynthesis,Vti1b
